X,Y,Z
-86.2467707347297,-353.83676125790487,-332.6366669683521
798.3584204960722,277.736029842914,672.9157672217398
-774.2814032481276,-867.88484748531,-947.7110527339769
-145.2552320175928,-447.2470690376741,-383.07139830533174
-655.1522518056427,-476.694193325191,-364.7906069838966
804.7330845709595,260.9630799539368,62.535766353723744
-202.4329793575239,-185.7540362551241,-552.2199818517922
-537.0257209885274,-970.63550807512,-842.2657842954552
-586.9311711500848,-911.6072070581683,-805.5365178678247
689.6947383978435,711.1861625785504,407.5975056607313
-188.70303883124188,-979.7415987363047,-455.54072544261203
-984.9761621868817,-124.03116497146243,-934.3348136886219
-551.0089529826412,-639.7871956590263,-775.2013353912027
-667.4945386638678,-878.0545046451563,-305.7914610710434
-97.53611669583518,-611.0152279385858,-164.6938089037675
155.24061769102636,748.0001328291262,149.3000729812123
-110.45204913845987,-984.9639367444491,-424.4881443638999
-554.9274280394591,-349.2461502135503,-770.7773135276132
64.1116927057814,825.2320901211331,100.97899402195995
-337.4411794400571,-565.2633729730196,-165.3098607427164
-877.8449415248165,-397.5857469216887,-49.787818821558176
890.4856926848078,234.02313934511264,691.6662357890665
697.1838700800303,932.8672113901692,257.9251301256688
-81.36873091886889,-551.0540325457307,-346.0719164832152
-925.2115740256942,-825.0800520764366,-582.2941360613903
953.2117966735889,189.79774892002476,860.2610182579537
-296.02067042816066,-241.9937306421832,-148.59636135015808
-255.6077109579361,-751.7120870239797,-394.3387132808855
627.4163692349599,103.79032743331821,839.2798667544686
6.088084828073388,346.51505606244103,108.06525665909341
788.7178481976166,117.10778447140692,501.9947350185064
255.11660793919947,535.2792356601252,546.545417843982
-431.6460015775202,-533.5798278970922,-624.6210451652421
-464.4713169319525,-934.7938325674277,-380.86103394460383
236.0911638031379,220.449203743442,653.7361851101554
-118.1869208376022,-801.9829685014586,-571.0444589459295
-337.8074610508089,-819.3102593041872,-36.800032569956215
404.1312715926905,999.6522538092253,643.0376696133851
458.8106558190508,765.5658978254446,897.3594075459257
518.1388956828679,385.4864801736682,354.9210970251385
-298.1787245397675,-970.1025008844815,-308.3089126592582
57.98349733518031,999.189166956925,780.6330792381787
125.24378812059479,137.4506619599811,586.1092502240972
-358.41862439830106,-913.2055664420433,-848.41844597274
131.99178022791395,155.95293559142195,991.1209800842628
545.7672853553343,26.034541636085702,138.03461787391885
199.32422961497,978.1465603295375,195.90088463267006
-598.7607417368401,-26.530714929418536,-247.78685942122684
-51.23043782206628,-852.0750110605705,-350.5057031633514
316.4915679627637,820.3959851181467,769.4362411187968
674.9624109359304,170.8530207076066,73.72870800443054
-403.23943761621683,-514.0552777142227,-335.572500027909
-435.7098152888094,-960.12141085369,-976.9174411308436
-945.339926786455,-973.7094343761969,-872.3368414795108
-908.0353920514978,-346.49214355060894,-544.2925215513462
-660.9644057233809,-272.66696334064216,-920.0879869965138
281.5252116910782,917.3190320634021,853.9849847785968
760.9544941187139,433.4708621646625,478.9183006113803
-938.714164322194,-787.0886474956023,-276.4683462243456
-928.2325039627209,-563.9949385734562,-233.66376867661506
-322.6390764743029,-149.6028550658134,-365.82458326385995
595.3871928549909,237.25294011546595,782.8272534356893
-226.21573608389429,-437.08636884157295,-439.3847866102856
487.5111149638772,265.0834450252144,371.9310969280248
627.6353695156338,384.22864423195807,482.60278321269965
-106.26571370769386,-879.8596527494037,-693.4358457279964
811.4020486485206,76.92844662767189,20.242592457114128
462.876369216403,663.1791740732973,532.8265440254518
-592.9482922288878,-576.8420904838725,-22.778306866747585
689.8876456020529,443.29522063640457,889.2967308689192
269.77721179151195,420.291262111425,732.0425691329622
375.0085608449189,637.827444208625,329.94693706412994
-342.4221145417215,-412.63545308549703,-922.1730504101529
47.32749220063653,898.5651200500862,510.981912767944
472.3825924471531,578.2959921759515,740.0439932684095
-661.9197736636438,-124.55523903917526,-996.6574842355101
137.53433904483379,792.1316848804096,446.4322464612942
-720.6052922518962,-441.29008851588446,-103.43831586347937
-541.0690855661451,-510.50558995484084,-129.00718856078322
610.1026224867675,353.5253909592078,260.06360646054964
363.70279462551576,87.89371596121673,914.3156412667089
407.0516370335065,309.0294185624662,839.1791258797264
-436.40109544217603,-915.5540858172228,-998.7455260722153
-413.83989199070334,-108.248503645337,-481.3294267986972
383.2890485708394,58.04666215726202,967.3562385417241
-188.81285398608634,-359.5185994790569,-777.7151411290804
694.4675546442759,292.32904105665375,353.77215595715006
-411.12569657455765,-869.9185549768513,-241.90374783703714
-920.620302252308,-928.7742756494923,-53.79939158202956
-239.2379215108091,-54.40012351007306,-80.31611122840934
-544.2147742288699,-663.9143650480194,-318.9249712134506
639.4284809782321,94.56137686037563,633.0481377306298
-780.5260372722407,-372.2438991575365,-821.4025186882475
206.61049801987923,178.26148321387123,929.1045395733494
506.51585157244256,576.0278571023126,719.0339652003405
-477.3651459387514,-820.6958735907219,-407.81876681213794
718.0449472207064,126.21844874073166,918.6762115160277
-767.0020140593942,-639.9047363575557,-604.0220126445231
-634.1074701232212,-523.1163519521622,-794.13172371716
409.02249077509913,894.2569909663234,483.64916305125354
-810.4928325977079,-638.5798928651974,-885.4043577436464
-418.22040546118603,-379.83475791146657,-141.05180154705636
-70.81118783582394,-918.912435294706,-143.45569647785544
-912.4015523103134,-271.75661388299477,-589.3480134040366
143.62616411344413,854.531273941992,226.1575606098398
-416.2559810566811,-632.9031393474577,-698.8544561935618
292.5480443681416,722.3944602848113,802.1236919579737
947.8241055713402,717.9610875484004,609.0724316991773
983.1478984975009,144.00243823230798,350.5820302806294
-471.371002858683,-893.0374358637634,-231.84578281141444
-350.88162160391096,-621.6337081060393,-741.8584029074436
532.8098365330169,711.8153548149343,753.3078803222127
848.4785109923057,264.88681868056057,511.3213382245793
80.7702566943525,98.59573651094098,349.7101644190378
169.17105115053448,59.04670772935813,897.569237493722
-964.3551473911853,-188.0813258546715,-177.44799685785722
14.611238373963094,51.312114871084304,724.7620418532375
771.7492211570656,984.716983265426,932.6572097935235
-690.1908197498724,-836.5765155175441,-566.6798307848908
456.62886960440846,257.5570240990301,624.6869288499414
-390.8019829693991,-192.4532530848146,-707.3421212310155
-749.6486254699499,-217.80788820886164,-654.733130589804
-421.30092071371666,-340.1386722444395,-373.9704738168243
92.50082415906279,433.0489237678154,513.9137714192271
48.5272258719301,533.7808090364039,532.0031591448798
633.6028457193516,912.9956211740763,901.9185020080109
